 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:23(FFI)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1184(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1197(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1207(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1240(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1266(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1298(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1303(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1313(StructuredVoidFormat)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1527(_guarded_repr_or_str)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1534(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:455(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:465(decorating_function)
       15    0.000    0.000    0.000    0.000 arrayprint.py:468(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:867(FloatingFormat)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.000    0.000 art3d.py:160(Line3D)
        1    0.000    0.000    0.000    0.000 art3d.py:283(Line3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:332(Patch3D)
        1    0.000    0.000    0.000    0.000 art3d.py:359(PathPatch3D)
        1    0.000    0.000    0.000    0.000 art3d.py:408(Patch3DCollection)
        1    0.000    0.000    0.001    0.001 art3d.py:5(<module>)
        1    0.000    0.000    0.000    0.000 art3d.py:504(Path3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:677(Poly3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:74(Text3D)
        1    0.000    0.000    0.005    0.005 artist.py:1(<module>)
        2    0.000    0.000    0.000    0.000 artist.py:1025(set_in_layout)
1056/1026    0.008    0.000    0.040    0.000 artist.py:1038(update)
        8    0.000    0.000    0.000    0.000 artist.py:1070(get_label)
       10    0.000    0.000    0.000    0.000 artist.py:1074(set_label)
        4    0.000    0.000    0.000    0.000 artist.py:1090(get_zorder)
      160    0.000    0.000    0.001    0.000 artist.py:1094(set_zorder)
      808    0.000    0.000    0.000    0.000 artist.py:1109(sticky_edges)
      200    0.001    0.000    0.002    0.000 artist.py:1131(update_from)
  692/662    0.001    0.000    0.079    0.000 artist.py:1152(set)
       32    0.000    0.000    0.000    0.000 artist.py:1160(<genexpr>)
       20    0.000    0.000    0.000    0.000 artist.py:1279(mouseover)
        1    0.000    0.000    0.000    0.000 artist.py:1302(ArtistInspector)
       12    0.000    0.000    0.016    0.001 artist.py:1308(__init__)
       12    0.001    0.000    0.016    0.001 artist.py:1328(get_aliases)
       12    0.001    0.000    0.001    0.000 artist.py:1339(<listcomp>)
      429    0.001    0.000    0.023    0.000 artist.py:1356(get_valid_values)
       12    0.001    0.000    0.022    0.002 artist.py:1403(get_setters)
     1755    0.001    0.000    0.021    0.000 artist.py:1422(is_alias)
      429    0.000    0.000    0.001    0.000 artist.py:1429(aliased_name)
      484    0.000    0.000    0.000    0.000 artist.py:1437(<genexpr>)
       11    0.001    0.000    0.044    0.004 artist.py:1452(pprint_setters)
       11    0.000    0.000    0.060    0.005 artist.py:1692(kwdoc)
        4    0.000    0.000    0.000    0.000 artist.py:188(have_units)
       12    0.000    0.000    0.000    0.000 artist.py:191(<genexpr>)
      568    0.000    0.000    0.001    0.000 artist.py:193(convert_xunits)
       27    0.000    0.000    0.000    0.000 artist.py:20(allow_rasterization)
      568    0.000    0.000    0.001    0.000 artist.py:205(convert_yunits)
     4766    0.001    0.000    0.001    0.000 artist.py:217(axes)
      574    0.000    0.000    0.000    0.000 artist.py:222(axes)
12541/10633    0.007    0.000    0.013    0.000 artist.py:241(stale)
    354/2    0.002    0.000    0.339    0.170 artist.py:33(draw_wrapper)
     2566    0.002    0.000    0.006    0.000 artist.py:356(pchanged)
       20    0.000    0.000    0.000    0.000 artist.py:369(is_transform_set)
      396    0.000    0.000    0.002    0.000 artist.py:377(set_transform)
      296    0.000    0.000    0.000    0.000 artist.py:390(get_transform)
       46    0.000    0.000    0.000    0.000 artist.py:583(get_url)
        2    0.000    0.000    0.000    0.000 artist.py:587(set_url)
      170    0.000    0.000    0.000    0.000 artist.py:597(get_gid)
       22    0.000    0.000    0.000    0.000 artist.py:611(get_snap)
        2    0.000    0.000    0.000    0.000 artist.py:622(set_snap)
       64    0.000    0.000    0.000    0.000 artist.py:650(get_sketch_params)
        1    0.000    0.000    0.000    0.000 artist.py:67(_finalize_rasterization)
      108    0.000    0.000    0.000    0.000 artist.py:706(get_path_effects)
       10    0.000    0.000    0.000    0.000 artist.py:709(get_figure)
      456    0.001    0.000    0.002    0.000 artist.py:713(set_figure)
        2    0.000    0.000    0.339    0.170 artist.py:72(draw_wrapper)
       12    0.000    0.000    0.000    0.000 artist.py:737(set_clip_box)
       64    0.000    0.000    0.027    0.000 artist.py:749(set_clip_path)
       48    0.000    0.000    0.000    0.000 artist.py:811(get_alpha)
      722    0.000    0.000    0.000    0.000 artist.py:818(get_visible)
     1263    0.001    0.000    0.005    0.000 artist.py:82(_stale_axes_callback)
    12591    0.002    0.000    0.002    0.000 artist.py:822(get_animated)
        2    0.000    0.000    0.000    0.000 artist.py:837(get_clip_on)
        2    0.000    0.000    0.000    0.000 artist.py:841(get_clip_box)
        6    0.000    0.000    0.000    0.000 artist.py:845(get_clip_path)
      112    0.000    0.000    0.001    0.000 artist.py:876(_set_gc_clip)
      708    0.000    0.000    0.000    0.000 artist.py:886(get_rasterized)
        2    0.000    0.000    0.000    0.000 artist.py:890(set_rasterized)
        1    0.000    0.000    0.000    0.000 artist.py:90(Artist)
      708    0.000    0.000    0.000    0.000 artist.py:911(get_agg_filter)
       68    0.000    0.000    0.001    0.000 artist.py:952(set_alpha)
        4    0.000    0.000    0.000    0.000 artist.py:970(_set_alpha_for_array)
      458    0.005    0.000    0.007    0.000 artist.py:99(__init__)
      524    0.000    0.000    0.002    0.000 artist.py:993(set_visible)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
       12    0.000    0.000    0.000    0.000 ast.py:210(iter_fields)
      235    0.000    0.000    0.003    0.000 ast.py:30(parse)
        1    0.000    0.000    0.000    0.000 ast.py:347(NodeVisitor)
        4    0.000    0.000    0.000    0.000 ast.py:367(visit)
        4    0.000    0.000    0.000    0.000 ast.py:383(visit_Constant)
        1    0.000    0.000    0.000    0.000 ast.py:405(NodeTransformer)
        4    0.000    0.000    0.000    0.000 ast.py:441(generic_visit)
        1    0.000    0.000    0.000    0.000 ast.py:476(_ABC)
        1    0.000    0.000    0.000    0.000 ast.py:505(Num)
        1    0.000    0.000    0.000    0.000 ast.py:509(Str)
       11    0.000    0.000    0.000    0.000 ast.py:51(literal_eval)
        1    0.000    0.000    0.000    0.000 ast.py:513(Bytes)
        1    0.000    0.000    0.000    0.000 ast.py:517(NameConstant)
        1    0.000    0.000    0.000    0.000 ast.py:520(Ellipsis)
        1    0.000    0.000    0.000    0.000 ast.py:62(_raise_malformed_node)
        1    0.000    0.000    0.000    0.000 ast.py:64(_convert_num)
        1    0.000    0.000    0.000    0.000 ast.py:68(_convert_signed_num)
    18/11    0.000    0.000    0.000    0.000 ast.py:76(_convert)
        1    0.000    0.000    0.000    0.000 async_utils.py:1(<module>)
       11    0.000    0.000    0.000    0.000 async_utils.py:11(async_variant)
       11    0.000    0.000    0.000    0.000 async_utils.py:12(decorator)
        1    0.000    0.000    0.010    0.010 axes3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axes3d.py:40(Axes3D)
        1    0.000    0.000    0.004    0.004 axis.py:1(<module>)
       16    0.001    0.000    0.133    0.008 axis.py:1023(_update_ticks)
       16    0.000    0.000    0.037    0.002 axis.py:1066(_get_tick_bboxes)
       16    0.000    0.000    0.026    0.002 axis.py:1068(<listcomp>)
       16    0.000    0.000    0.010    0.001 axis.py:1070(<listcomp>)
        8    0.000    0.000    0.213    0.027 axis.py:1133(draw)
       16    0.000    0.000    0.006    0.000 axis.py:1258(get_majorticklocs)
       16    0.000    0.000    0.008    0.000 axis.py:1262(get_minorticklocs)
       16    0.000    0.000    0.000    0.000 axis.py:1275(<listcomp>)
       24    0.000    0.000    0.001    0.000 axis.py:1310(_get_tick_label_size)
       40    0.000    0.000    0.008    0.000 axis.py:1322(_copy_tick_props)
       24    0.000    0.000    0.000    0.000 axis.py:1336(get_major_locator)
       18    0.000    0.000    0.107    0.006 axis.py:1352(get_major_ticks)
       18    0.000    0.000    0.000    0.000 axis.py:1365(get_minor_ticks)
       20    0.000    0.000    0.050    0.002 axis.py:1378(grid)
       20    0.000    0.000    0.000    0.000 axis.py:1425(<dictcomp>)
       20    0.000    0.000    0.000    0.000 axis.py:1436(update_units)
       64    0.000    0.000    0.000    0.000 axis.py:149(<dictcomp>)
       28    0.000    0.000    0.000    0.000 axis.py:1491(have_units)
       64    0.000    0.000    0.001    0.000 axis.py:1494(convert_units)
       48    0.000    0.000    0.000    0.000 axis.py:1511(set_units)
        2    0.000    0.000    0.000    0.000 axis.py:1548(set_label_text)
       70    0.000    0.000    0.001    0.000 axis.py:1569(set_major_formatter)
       68    0.000    0.000    0.001    0.000 axis.py:1595(set_minor_formatter)
      138    0.001    0.000    0.001    0.000 axis.py:1609(_set_formatter)
       72    0.000    0.000    0.001    0.000 axis.py:1635(set_major_locator)
       70    0.000    0.000    0.001    0.000 axis.py:1651(set_minor_locator)
        4    0.000    0.000    0.000    0.000 axis.py:1797(set_ticks)
        4    0.000    0.000    0.000    0.000 axis.py:1821(<listcomp>)
        8    0.000    0.000    0.019    0.002 axis.py:1852(_get_tick_boxes_siblings)
        8    0.000    0.000    0.000    0.000 axis.py:1860(<listcomp>)
       12    0.000    0.000    0.000    0.000 axis.py:1924(_get_ticks_position)
       36    0.000    0.000    0.000    0.000 axis.py:1940(<genexpr>)
       12    0.000    0.000    0.000    0.000 axis.py:1961(get_label_position)
       10    0.000    0.000    0.000    0.000 axis.py:1981(_make_getset_interval)
      104    0.000    0.000    0.003    0.000 axis.py:1987(getter)
       64    0.000    0.000    0.000    0.000 axis.py:200(_set_labelrotation)
        1    0.000    0.000    0.000    0.000 axis.py:2011(XAxis)
        4    0.000    0.000    0.004    0.001 axis.py:2015(__init__)
       26    0.000    0.000    0.060    0.002 axis.py:2054(_get_tick)
        4    0.000    0.000    0.006    0.002 axis.py:2075(_update_label_position)
        4    0.000    0.000    0.001    0.000 axis.py:2118(_update_offset_text_position)
       64    0.000    0.000    0.001    0.000 axis.py:212(apply_tickdir)
       12    0.000    0.000    0.000    0.000 axis.py:2228(get_ticks_position)
        8    0.000    0.000    0.000    0.000 axis.py:2241(get_minpos)
       64    0.000    0.000    0.000    0.000 axis.py:225(get_tick_padding)
        8    0.000    0.000    0.002    0.000 axis.py:2268(get_tick_space)
        1    0.000    0.000    0.000    0.000 axis.py:2282(YAxis)
        4    0.000    0.000    0.005    0.001 axis.py:2286(__init__)
       38    0.000    0.000    0.086    0.002 axis.py:2327(_get_tick)
        2    0.000    0.000    0.000    0.000 axis.py:2334(set_label_position)
        4    0.000    0.000    0.016    0.004 axis.py:2349(_update_label_position)
       24    0.000    0.000    0.006    0.000 axis.py:239(set_clip_path)
        4    0.000    0.000    0.000    0.000 axis.py:2391(_update_offset_text_position)
        2    0.000    0.000    0.000    0.000 axis.py:2402(set_offset_position)
        2    0.000    0.000    0.002    0.001 axis.py:2433(set_ticks_position)
        8    0.000    0.000    0.000    0.000 axis.py:2508(get_minpos)
       16    0.000    0.000    0.005    0.000 axis.py:2535(get_tick_space)
      104    0.000    0.000    0.000    0.000 axis.py:290(get_loc)
       44    0.001    0.000    0.038    0.001 axis.py:294(draw)
        1    0.000    0.000    0.000    0.000 axis.py:30(<listcomp>)
      104    0.000    0.000    0.001    0.000 axis.py:306(set_label1)
        1    0.000    0.000    0.000    0.000 axis.py:31(<listcomp>)
      104    0.000    0.000    0.001    0.000 axis.py:319(set_label2)
      320    0.000    0.000    0.001    0.000 axis.py:343(_set_artist_props)
        1    0.000    0.000    0.000    0.000 axis.py:35(Tick)
       70    0.001    0.000    0.028    0.000 axis.py:352(_apply_params)
      350    0.000    0.000    0.000    0.000 axis.py:360(<genexpr>)
       70    0.000    0.000    0.000    0.000 axis.py:379(<dictcomp>)
       70    0.000    0.000    0.000    0.000 axis.py:392(<dictcomp>)
       70    0.000    0.000    0.000    0.000 axis.py:397(<dictcomp>)
        1    0.000    0.000    0.000    0.000 axis.py:412(XTick)
       26    0.001    0.000    0.060    0.002 axis.py:419(__init__)
       26    0.000    0.000    0.001    0.000 axis.py:448(_get_text1_transform)
       26    0.000    0.000    0.001    0.000 axis.py:451(_get_text2_transform)
       26    0.000    0.000    0.001    0.000 axis.py:454(apply_tickdir)
       62    0.000    0.000    0.001    0.000 axis.py:464(update_position)
        1    0.000    0.000    0.000    0.000 axis.py:479(YTick)
       38    0.001    0.000    0.086    0.002 axis.py:486(__init__)
       38    0.000    0.000    0.002    0.000 axis.py:515(_get_text1_transform)
       38    0.000    0.000    0.002    0.000 axis.py:518(_get_text2_transform)
       38    0.000    0.000    0.001    0.000 axis.py:521(apply_tickdir)
      106    0.001    0.000    0.002    0.000 axis.py:531(update_position)
        1    0.000    0.000    0.000    0.000 axis.py:546(Ticker)
       16    0.000    0.000    0.000    0.000 axis.py:558(__init__)
       72    0.000    0.000    0.000    0.000 axis.py:562(locator)
      142    0.000    0.000    0.000    0.000 axis.py:566(locator)
       64    0.004    0.000    0.083    0.001 axis.py:57(__init__)
      348    0.000    0.000    0.000    0.000 axis.py:573(formatter)
      138    0.000    0.000    0.000    0.000 axis.py:577(formatter)
        1    0.000    0.000    0.000    0.000 axis.py:585(_LazyTickList)
        2    0.000    0.000    0.000    0.000 axis.py:593(__init__)
    24/16    0.000    0.000    0.048    0.003 axis.py:596(__get__)
        1    0.000    0.000    0.000    0.000 axis.py:617(Axis)
        8    0.000    0.000    0.006    0.001 axis.py:653(__init__)
       16    0.000    0.000    0.000    0.000 axis.py:704(get_remove_overlapping_locs)
      160    0.000    0.000    0.000    0.000 axis.py:735(get_transform)
       20    0.000    0.000    0.000    0.000 axis.py:738(get_scale)
       68    0.000    0.000    0.010    0.000 axis.py:742(_set_scale)
       16    0.000    0.000    0.000    0.000 axis.py:754(limit_range_for_scale)
       48    0.000    0.000    0.008    0.000 axis.py:773(clear)
       64    0.000    0.000    0.000    0.000 axis.py:813(reset_ticks)
       38    0.000    0.000    0.061    0.002 axis.py:833(set_tick_params)
       38    0.000    0.000    0.000    0.000 axis.py:872(_translate_tick_kw)
        8    0.000    0.000    0.042    0.005 axis.py:917(set_clip_path)
       16    0.000    0.000    0.000    0.000 axis.py:998(_set_artist_props)
        1    0.000    0.000    0.000    0.000 axis3d.py:35(Axis)
        1    0.000    0.000    0.000    0.000 axis3d.py:471(XAxis)
        1    0.000    0.000    0.000    0.000 axis3d.py:478(YAxis)
        1    0.000    0.000    0.000    0.000 axis3d.py:485(ZAxis)
        1    0.000    0.000    0.000    0.000 axis3d.py:5(<module>)
        1    0.000    0.000    0.001    0.001 backend_agg.py:1(<module>)
        2    0.000    0.000    0.000    0.000 backend_agg.py:107(_update_methods)
       18    0.000    0.000    0.005    0.000 backend_agg.py:133(draw_path)
        2    0.000    0.000    0.000    0.000 backend_agg.py:166(draw_path_collection)
       44    0.001    0.000    0.010    0.000 backend_agg.py:190(draw_text)
       88    0.000    0.000    0.016    0.000 backend_agg.py:217(get_text_width_height_descent)
       44    0.000    0.000    0.000    0.000 backend_agg.py:265(get_canvas_width_height)
      132    0.001    0.000    0.012    0.000 backend_agg.py:269(_get_agg_font)
       88    0.000    0.000    0.000    0.000 backend_agg.py:282(points_to_pixels)
        6    0.000    0.000    0.000    0.000 backend_agg.py:298(option_image_nocomposite)
        2    0.000    0.000    0.000    0.000 backend_agg.py:306(option_scale_image)
        1    0.000    0.000    0.000    0.000 backend_agg.py:388(FigureCanvasAgg)
        4    0.000    0.000    0.005    0.001 backend_agg.py:391(copy_from_bbox)
        2    0.000    0.000    0.355    0.178 backend_agg.py:399(draw)
        6    0.000    0.000    0.002    0.000 backend_agg.py:411(get_renderer)
      132    0.000    0.000    0.001    0.000 backend_agg.py:50(get_hinting_flag)
        1    0.000    0.000    0.000    0.000 backend_agg.py:601(_BackendAgg)
        1    0.000    0.000    0.000    0.000 backend_agg.py:66(RendererAgg)
        2    0.002    0.001    0.002    0.001 backend_agg.py:85(__init__)
        1    0.000    0.000    0.005    0.005 backend_bases.py:1(<module>)
      112    0.000    0.000    0.000    0.000 backend_bases.py:1011(get_hatch)
      112    0.000    0.000    0.000    0.000 backend_bases.py:1015(get_hatch_path)
      112    0.000    0.000    0.000    0.000 backend_bases.py:1022(get_hatch_color)
      112    0.000    0.000    0.000    0.000 backend_bases.py:1030(get_hatch_linewidth)
      112    0.000    0.000    0.000    0.000 backend_bases.py:1034(get_sketch_params)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1074(TimerBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1229(Event)
       10    0.000    0.000    0.000    0.000 backend_bases.py:1244(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1250(DrawEvent)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1272(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1277(ResizeEvent)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1291(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1296(CloseEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1300(LocationEvent)
        4    0.000    0.000    0.006    0.002 backend_bases.py:1326(__init__)
        4    0.000    0.000    0.000    0.000 backend_bases.py:1361(_update_enter_leave)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1388(MouseButton)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1396(MouseEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1468(PickEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:147(RendererBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1511(KeyEvent)
        2    0.000    0.000    0.004    0.002 backend_bases.py:1545(__init__)
        5    0.000    0.000    0.000    0.000 backend_bases.py:1607(_check_savefig_extra_args)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1674(FigureCanvasBase)
        2    0.000    0.000    0.000    0.000 backend_bases.py:168(__init__)
        4    0.000    0.000    0.000    0.000 backend_bases.py:1715(__init__)
       27    0.000    0.000    0.000    0.000 backend_bases.py:1733(<lambda>)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1737(_fix_ipython_backend2gui)
      168    0.000    0.000    0.000    0.000 backend_bases.py:175(open_group)
       12    0.000    0.000    0.000    0.000 backend_bases.py:1763(_idle_draw_cntx)
        4    0.000    0.000    0.000    0.000 backend_bases.py:1771(is_saving)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1788(draw_event)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1794(resize_event)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1803(close_event)
        2    0.000    0.000    0.009    0.004 backend_bases.py:1819(key_press_event)
      168    0.000    0.000    0.000    0.000 backend_bases.py:182(close_group)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1941(leave_notify_event)
        2    0.000    0.000    0.002    0.001 backend_bases.py:1957(enter_notify_event)
        4    0.000    0.000    0.005    0.001 backend_bases.py:1986(inaxes)
        4    0.000    0.000    0.005    0.001 backend_bases.py:2000(<listcomp>)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2030(draw)
        8    0.000    0.000    0.000    0.000 backend_bases.py:2057(get_width_height)
       12    0.000    0.000    0.000    0.000 backend_bases.py:2329(mpl_connect)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2384(mpl_disconnect)
        2    0.000    0.000    0.005    0.002 backend_bases.py:2472(key_press_handler)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2676(NonGuiException)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2681(FigureManagerBase)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2742(__init__)
        6    0.000    0.000    0.000    0.000 backend_bases.py:2761(notify_axes_change)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2829(_Mode)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2842(NavigationToolbar2)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2900(__init__)
        4    0.000    0.000    0.014    0.003 backend_bases.py:3017(_wait_cursor_for_draw_cm)
        6    0.000    0.000    0.000    0.000 backend_bases.py:3327(update)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3336(ToolContainerBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3491(StatusbarBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3514(_Backend)
        2    0.000    0.000    0.038    0.019 backend_bases.py:3538(new_figure_manager)
        2    0.000    0.000    0.036    0.018 backend_bases.py:3547(new_figure_manager_given_figure)
        2    0.000    0.000    0.000    0.000 backend_bases.py:3554(draw_if_interactive)
        2    0.000    0.000    9.916    4.958 backend_bases.py:3561(show)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3599(export)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3614(Show)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3622(ShowBase)
        2    0.000    0.000    0.000    0.000 backend_bases.py:467(get_image_magnification)
       44    0.000    0.000    0.000    0.000 backend_bases.py:655(flipy)
      112    0.000    0.000    0.003    0.000 backend_bases.py:674(new_gc)
        2    0.000    0.000    0.000    0.000 backend_bases.py:699(start_rasterizing)
        2    0.000    0.000    0.000    0.000 backend_bases.py:706(stop_rasterizing)
        1    0.000    0.000    0.000    0.000 backend_bases.py:748(GraphicsContextBase)
      112    0.001    0.000    0.003    0.000 backend_bases.py:751(__init__)
      112    0.000    0.000    0.000    0.000 backend_bases.py:792(restore)
      112    0.000    0.000    0.000    0.000 backend_bases.py:819(get_clip_path)
      112    0.000    0.000    0.000    0.000 backend_bases.py:834(get_dashes)
      112    0.000    0.000    0.000    0.000 backend_bases.py:874(get_snap)
       64    0.000    0.000    0.000    0.000 backend_bases.py:885(set_alpha)
       62    0.000    0.000    0.000    0.000 backend_bases.py:902(set_antialiased)
       62    0.000    0.000    0.000    0.000 backend_bases.py:907(set_capstyle)
        8    0.000    0.000    0.000    0.000 backend_bases.py:918(set_clip_rectangle)
      112    0.000    0.000    0.001    0.000 backend_bases.py:922(set_clip_path)
       18    0.000    0.000    0.000    0.000 backend_bases.py:927(set_dashes)
      170    0.000    0.000    0.000    0.000 backend_bases.py:953(set_foreground)
       62    0.000    0.000    0.000    0.000 backend_bases.py:973(set_joinstyle)
       64    0.000    0.000    0.000    0.000 backend_bases.py:984(set_linewidth)
      108    0.000    0.000    0.000    0.000 backend_bases.py:988(set_url)
        2    0.000    0.000    0.000    0.000 backend_bases.py:992(set_gid)
       66    0.000    0.000    0.000    0.000 backend_bases.py:996(set_snap)
        1    0.000    0.000    0.000    0.000 backend_macosx.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_managers.py:15(ToolTriggerEvent)
        1    0.000    0.000    0.000    0.000 backend_managers.py:22(ToolManagerMessageEvent)
        1    0.000    0.000    0.000    0.000 backend_managers.py:34(ToolManager)
        1    0.000    0.000    0.000    0.000 backend_managers.py:6(ToolEvent)
        1    0.002    0.002    0.032    0.032 backend_qt5.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:1000(ToolCopyToClipboardQT)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:1014(_BackendQT5)
        2    0.000    0.000    9.851    4.925 backend_qt5.py:1019(mainloop)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:131(_allow_super_init)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:170(TimerQT)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:199(FigureCanvasQT)
        2    0.000    0.000    0.012    0.006 backend_qt5.py:211(__init__)
        4    0.000    0.000    0.000    0.000 backend_qt5.py:227(<lambda>)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:236(_update_figure_dpi)
       44    0.000    0.000    0.000    0.000 backend_qt5.py:240(_dpi_ratio)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:244(_update_pixel_ratio)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:259(_update_screen)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:266(showEvent)
        8    0.000    0.000    0.000    0.000 backend_qt5.py:273(get_width_height)
        2    0.000    0.000    0.002    0.001 backend_qt5.py:277(enterEvent)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:285(leaveEvent)
        6    0.000    0.000    0.000    0.000 backend_qt5.py:289(mouseEventCoords)
        2    0.000    0.000    0.009    0.005 backend_qt5.py:353(keyPressEvent)
        2    0.000    0.000    0.001    0.000 backend_qt5.py:363(resizeEvent)
        4    0.000    0.000    0.000    0.000 backend_qt5.py:375(sizeHint)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:382(_get_key)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:391(<listcomp>)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:436(draw)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:446(draw_idle)
        6    0.000    0.000    0.356    0.059 backend_qt5.py:467(_draw_idle)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:508(MainWindow)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:511(closeEvent)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:516(FigureManagerQT)
        2    0.007    0.004    0.024    0.012 backend_qt5.py:530(__init__)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:582(_widgetclosed)
        2    0.000    0.000    0.005    0.003 backend_qt5.py:594(_get_toolbar)
        2    0.000    0.000    0.065    0.033 backend_qt5.py:613(show)
        2    0.000    0.000    0.001    0.000 backend_qt5.py:619(destroy)
        2    0.000    0.000    0.000    0.000 backend_qt5.py:633(set_window_title)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:637(NavigationToolbar2QT)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:643(<listcomp>)
        2    0.000    0.000    0.005    0.003 backend_qt5.py:647(__init__)
       16    0.003    0.000    0.004    0.000 backend_qt5.py:699(_icon)
        4    0.000    0.000    0.014    0.003 backend_qt5.py:764(set_cursor)
        8    0.000    0.000    0.000    0.000 backend_qt5.py:814(set_history_buttons)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:823(SubplotToolQt)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:88(<listcomp>)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:891(ToolbarQt)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:956(StatusbarQt)
        2    0.011    0.005    0.011    0.006 backend_qt5.py:96(_create_qApp)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:967(ConfigureSubplotsQt)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:973(SaveFigureQt)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:979(SetCursorQt)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:985(RubberbandQt)
