 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1173(__iter__)
       82    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     1443    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1287(_legacy_get_spec)
  802/801    0.003    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      801    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1371(find_distributions)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      734    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     1259    0.009    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       82    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       82    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
     1268    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     1259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      734    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      634    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      634    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     1902    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      634    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      634    0.001    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
